id,text,dataset_name,category
1,"法條名稱: 第421條, 內容: 稱租賃者，謂當事人約定，一方以物租與他方使用、收益，他方支付租金之契約。前項租金，得以金錢或租賃物之孳息充之。",相關法條,基本定義與形式要件
2,"法條名稱: 第422條, 內容: 不動產之租賃契約，其期限逾一年者，應以字據訂立之，未以字據訂立者，視為不定期限之租賃。",相關法條,基本定義與形式要件
3,"法條名稱: 第422-1條, 內容: 租用基地建築房屋者，承租人於契約成立後，得請求出租人為地上權之登記。",相關法條,基本定義與形式要件
4,"法條名稱: 第423條, 內容: 出租人應以合於所約定使用、收益之租賃物，交付承租人，並應於租賃關係存續中持其合於約定使用、收益之狀態。",相關法條,使用限制與修繕維護
5,"法條名稱: 第424條, 內容: 租賃物為房屋或其他供居住之處所者，如有瑕疵，危及承租人或其同居人之安全或健康時，承租人雖於訂約時已知其瑕疵，或已拋棄其終止契約之權利，仍得終止契約。",相關法條,使用限制與修繕維護
6,"法條名稱: 第425條, 內容: 出租人於租賃物交付後，縱將其所有權讓與第三人，其租賃契約，對於受讓人，仍繼續存在。前項規定，於未經公證之不動產租賃契約，其期限逾五年或未定期限者，不適用之。",相關法條,標的物與租期約定
7,"法條名稱: 第425-1條, 內容: 土地及其土地上之房屋同屬一人所有，而僅將土地或僅將房屋所有權讓與他人，或將土地及房屋同時或先後讓與相異之人時，土地受讓人或房屋受讓人與讓與人間或房屋受讓人與土地受讓人間，推定在房屋得使用期限內，有租賃關係。其期限不受第四百四十九條第一項規定之限制。前項情形，其租金數額當事人不能協議時，得請求法院定之。",相關法條,標的物與租期約定
8,"法條名稱: 第426條, 內容: 出租人就租賃物設定物權，致妨礙承租人之使用收益者，準用第四百二十五條之規定。",相關法條,使用限制與修繕維護
9,"法條名稱: 第426-1條, 內容: 租用基地建築房屋，承租人房屋所有權移轉時，其基地租賃契約，對於房屋受讓人，仍繼續存在。",相關法條,標的物與租期約定
10,"法條名稱: 第426-2條, 內容: 租用基地建築房屋，出租人出賣基地時，承租人有依同樣條件先承買之權。承租人出賣房屋 時，基地所有人有依同樣條件優先承買之權。前項情形，出賣人應將出賣條件以書面通知優先承買權人。優先承買權人於通知達到後十日內未以書面表示承買者，視為放棄。出賣人未以書面通知優先承買權人而為所有權之移轉登記者，不得對抗優先承買權人。",相關法條,標的物與租期約定
11,"法條名稱: 第427條, 內容: 就租賃物應納之一切稅捐，由出租人負擔。",相關法條,金錢與費用相關
12,"法條名稱: 第429條, 內容: 租賃物之修繕，除契約另有訂定或另有習慣外，由出租人負擔。出租人為保存租賃物所為之必要行為，承租人不得拒絕。",相關法條,使用限制與修繕維護
13,"法條名稱: 第430條, 內容: 租賃關係存續中，租賃物如有修繕之必要，應由出租人負擔者，承租人得定相當期限，催告出租人修繕。如出租人於其期限內不為修繕者，承租人得終止契約或自行修繕而請求出租人償還其費用，或於租金中扣除之。",相關法條,使用限制與修繕維護
14,"法條名稱: 第431條, 內容: 承租人就租賃物，支出有益費用，因而增加該物之價值者，如出租人知其情事而不為反對之表示，於租賃關係終止時，應償還其費用，但以其現存之增價額為限。承租人就租賃物所增設之工作物，得取回之，但應回復租賃物之原狀。",相關法條,使用限制與修繕維護
15,"法條名稱: 第432條, 內容: 承租人應以善良管理人之注意，保管租賃物。租賃物有生產力者，並應保持其生產力。承租人違反前項義務，致租賃物毀損、滅失者，負損害賠償責任。但依約定之方法，或依物之性質而定之方法為使用收益，致有變更或毀損者，不在此限。",相關法條,使用限制與修繕維護
